"ED" "MD" "TD"
"Juniperus_oxycedrus" 0 0 9
"Clematis_flammula" 0 6 19
"Silene_canescens" 0 87 94
"Salsola_kali" 72 37 2
"Polygonum_maritimum" 14 4 1
"Phillyrea_angustifolia" 0 3 5
"Helichrysum_stoechas" 0 6 31
"Otanthus_maritimus" 16 7 0
"Centaurea_sphaerocephala" 0 12 16
"Sonchus_bulbosus" 0 9 5
"Anthemis_maritima" 9 196 49
"Pycnocomon_rutifolium" 0 5 45
"Lonicera_implexa" 0 2 2
"Eryngium_maritimum" 8 30 1
"Echinophora_spinosa" 11 43 4
"Pseudorlaya_pumila" 0 10 9
"Rubia_peregrina" 0 0 3
"Crucianella_maritima" 0 33 85
"Prasium_majus" 0 1 3
"Plantago_coronopus" 1 19 18
"Calystegia_soldanella" 10 38 10
"Lotus_cytisoides" 0 7 66
"Ononis_variegata" 2 104 27
"Medicago_littoralis" 0 31 86
"Medicago_marina" 1 70 13
"Quercus_ilex" 0 0 3
"Euphorbia_terracina" 0 4 30
"Chamaesyce_peplis" 36 21 1
"Pistacia_lentiscus" 0 1 8
"Daphne_gnidium" 0 0 1
"Cakile_maritima" 81 36 4
"Smilax_aspera" 0 5 10
"Pancratium_maritimum" 6 62 41
"Asparagus_acutifolius" 0 4 3
"Cyperus_kalli" 1 70 39
"Lophocloa_pubescens" 0 8 6
"Lagurus_ovatus" 0 4 23
"Sporobolus_virginicus" 42 65 22
"Bromus_diandrus" 0 7 34
"Cutandia_maritima" 3 54 101
"Ammophila_arenaria" 0 176 6
"Vulpia_fasciculata" 0 14 77
"Elymus_farctus" 60 199 47
