"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V39" "V40" "V41" "V42" "V43" "V44" "V46"
"1" 0 0.637816311 0.670421798 0.627342071 0.728888146 0.711215563 0.657473618 0.748704498 0.670429686 0.646319707 0.571313239 0.44203512 0.732836611 0.714647869 0.076530491 0.715935773 0.764053573 0.633595 0.627383733 0.574596052 0.707302105 0.630655293 0.685132964 0.758023145 0.591134117 0.749758105 0.648723692 0.646358871 0.677458877 0.6383424 0.681903743 0.651569962 0.697811147 0.675723412 0.700711904 0.680739736 0.707024351 0.705677382 0.749483677 0.700489537 0.633304095 0.408655005 0.588417019
"2" 0.637816311 0 0.684481298 0.695213595 0.537900337 0.541715287 0.29255211 0.584422331 0.546492679 0.583837479 0.586739014 0.602016558 0.579959565 0.473325207 0.627857408 0.602348834 0.673079511 0.564157268 0.64390075 0.586296559 0.572184099 0.638053183 0.632464112 0.681764814 0.649487015 0.606262675 0.488889721 0.63851989 0.601014933 0.641373761 0.629055369 0.469264391 0.59666299 0.677503122 0.402947182 0.740516091 0.584853658 0.525163417 0.607147065 0.648626651 0.696930404 0.626177351 0.629639748
"3" 0.670421798 0.684481298 0 0.740168679 0.723794847 0.619474791 0.673210164 0.67556743 0.595049086 0.579058466 0.728719017 0.526082991 0.538302513 0.709868915 0.658440431 0.743941892 0.755943724 0.622914481 0.483847101 0.744502487 0.479807866 0.71991849 0.689323981 0.774980067 0.684989561 0.714585091 0.621676031 0.632520669 0.55142223 0.471759669 0.674652094 0.555671685 0.549005075 0.723836369 0.624305169 0.627150899 0.490524978 0.676410978 0.712092671 0.409362815 0.755883614 0.600106783 0.752131561
"4" 0.627342071 0.695213595 0.740168679 0 0.527412581 0.707629782 0.706046673 0.552563505 0.651858267 0.703416422 0.360177097 0.650354374 0.681686148 0.756497927 0.618758642 0.563683591 0.428266452 0.68353177 0.604189214 0.374761071 0.661080955 0.266598006 0.646981996 0.463021553 0.680406916 0.544082231 0.701717778 0.753758979 0.64737428 0.610432249 0.471509307 0.655119577 0.682334521 0.376347785 0.656770526 0.662790534 0.650790103 0.563894945 0.547313998 0.730498611 0.618099553 0.615300432 0.390794886
"5" 0.728888146 0.537900337 0.723794847 0.527412581 0 0.542462981 0.615753136 0.31354296 0.605583389 0.63071694 0.452922203 0.633736218 0.692663229 0.651582527 0.720583904 0.666635682 0.478445299 0.603655612 0.68852514 0.452728663 0.662122995 0.451276021 0.532448763 0.485904599 0.693318969 0.278054347 0.562197847 0.603727476 0.65591782 0.685290862 0.359915447 0.581495556 0.592188592 0.503601207 0.561034784 0.769991832 0.669092123 0.446484267 0.281842362 0.744133474 0.655507609 0.765062545 0.511404053
"6" 0.711215563 0.541715287 0.619474791 0.707629782 0.542462981 0 0.607907001 0.450584876 0.606290048 0.58139263 0.694699939 0.610148237 0.672299286 0.564985201 0.697968559 0.602619969 0.658082272 0.610985691 0.722541934 0.699493685 0.661471923 0.689590635 0.560551616 0.626687931 0.647326233 0.472401118 0.552615341 0.448133038 0.694176905 0.713785903 0.523619484 0.448639413 0.628611985 0.636427049 0.485012754 0.818773852 0.67425807 0.627924902 0.596717368 0.649592396 0.558239397 0.696147353 0.734709413
"7" 0.657473618 0.29255211 0.673210164 0.706046673 0.615753136 0.607907001 0 0.642843529 0.477169449 0.570295392 0.603174818 0.606783343 0.494023787 0.54468904 0.646893601 0.586148791 0.634899659 0.492948127 0.664400165 0.606356479 0.574619977 0.651938807 0.589868751 0.638256946 0.607326091 0.674420106 0.558576906 0.676226358 0.623716997 0.659841554 0.694848374 0.544778965 0.611172195 0.646276945 0.484526278 0.756654303 0.580796703 0.576352859 0.568242976 0.636228914 0.655372366 0.614618612 0.642860376
"8" 0.748704498 0.584422331 0.67556743 0.552563505 0.31354296 0.450584876 0.642843529 0 0.584699004 0.649746318 0.536019191 0.671233696 0.646042879 0.697150597 0.737951969 0.643526141 0.483520205 0.58531867 0.695281879 0.548865064 0.637070307 0.529173674 0.542442371 0.437007392 0.699985089 0.161667809 0.530805901 0.562083252 0.66708571 0.688331165 0.2946263 0.500789375 0.607872444 0.464957512 0.533253684 0.788677102 0.648516726 0.459698239 0.397859698 0.704755926 0.633886984 0.735169836 0.574224495
"10" 0.670429686 0.546492679 0.595049086 0.651858267 0.605583389 0.606290048 0.477169449 0.584699004 0 0.674641236 0.591706681 0.690421126 0.401105991 0.715013591 0.665066074 0.59027778 0.554623471 0.542495922 0.54774738 0.602002383 0.467003229 0.637801126 0.500746013 0.571861262 0.622307485 0.60658457 0.612407212 0.629083792 0.495577035 0.542842732 0.635231785 0.637915843 0.565896497 0.585995756 0.613061519 0.650873981 0.473284546 0.587491427 0.546546196 0.550119948 0.597113201 0.664602829 0.62473111
"11" 0.646319707 0.583837479 0.579058466 0.703416422 0.63071694 0.58139263 0.570295392 0.649746318 0.674641236 0 0.656345456 0.446774797 0.633955611 0.62642456 0.625999055 0.681994569 0.725544573 0.495815388 0.726975903 0.669271815 0.643465445 0.650558509 0.586046785 0.717449554 0.565238715 0.677277809 0.502551522 0.616089899 0.695043104 0.722833838 0.711119763 0.616347261 0.535630502 0.747145338 0.577303018 0.815573352 0.635488648 0.69422023 0.628232814 0.609994035 0.674901491 0.581396327 0.685406813
"12" 0.571313239 0.586739014 0.728719017 0.360177097 0.452922203 0.694699939 0.603174818 0.536019191 0.591706681 0.656345456 0 0.588105458 0.717558231 0.747477222 0.561487324 0.653894538 0.54290934 0.678627971 0.642849794 0.1033281 0.695575586 0.255100941 0.637215744 0.530756 0.715946675 0.530469027 0.694683624 0.742445881 0.68506726 0.645311678 0.452413139 0.64238429 0.679420321 0.440803245 0.696134191 0.710717269 0.694351475 0.411848574 0.469717837 0.764858597 0.672729747 0.613283501 0.16083208
"13" 0.44203512 0.602016558 0.526082991 0.650354374 0.633736218 0.610148237 0.606783343 0.671233696 0.690421126 0.446774797 0.588105458 0 0.677250431 0.600353789 0.436126022 0.669614967 0.749524773 0.60857632 0.63880633 0.591039586 0.670430647 0.58953041 0.67194122 0.758480683 0.651787995 0.692862904 0.606394472 0.568196288 0.687833796 0.636492195 0.629983795 0.546436451 0.642558823 0.678786479 0.605043185 0.727765122 0.681502737 0.636821999 0.645606359 0.645190524 0.651870202 0.43746434 0.621769781
"14" 0.732836611 0.579959565 0.538302513 0.681686148 0.692663229 0.672299286 0.494023787 0.646042879 0.401105991 0.633955611 0.717558231 0.677250431 0 0.638642329 0.723809959 0.609450222 0.589453491 0.501216363 0.481428717 0.728938647 0.308525935 0.666986778 0.605111898 0.603353367 0.557126373 0.690197517 0.567621065 0.684731674 0.410556797 0.475916279 0.713842926 0.61298474 0.564067043 0.621074989 0.569983508 0.60964831 0.318695919 0.675437562 0.638749775 0.402299872 0.633880583 0.674428001 0.742050435
"15" 0.714647869 0.473325207 0.709868915 0.756497927 0.651582527 0.564985201 0.54468904 0.697150597 0.715013591 0.62642456 0.747477222 0.600353789 0.638642329 0 0.718837814 0.601806191 0.752967514 0.693933028 0.710000151 0.74628535 0.644004206 0.70733013 0.765286636 0.762643812 0.634712588 0.726426832 0.615105229 0.60898851 0.674843954 0.706554686 0.723524355 0.609385967 0.747200524 0.725349541 0.537047555 0.786508124 0.665767205 0.652452979 0.727124819 0.594085849 0.69533628 0.696580746 0.776412482
"16" 0.076530491 0.627857408 0.658440431 0.618758642 0.720583904 0.697968559 0.646893601 0.737951969 0.665066074 0.625999055 0.561487324 0.436126022 0.723809959 0.718837814 0 0.716447209 0.748555671 0.62342078 0.630796299 0.566432587 0.698853915 0.619655554 0.668254785 0.740537092 0.576325657 0.73604477 0.63998777 0.641990736 0.679694376 0.636916819 0.674602774 0.638156569 0.683870749 0.667473024 0.693945833 0.698091497 0.698833582 0.696490059 0.736868485 0.698919745 0.617318051 0.394924432 0.583978467
"17" 0.715935773 0.602348834 0.743941892 0.563683591 0.666635682 0.602619969 0.586148791 0.643526141 0.59027778 0.681994569 0.653894538 0.669614967 0.609450222 0.601806191 0.716447209 0 0.591504787 0.667382462 0.685157773 0.656646689 0.611434075 0.606528357 0.65592971 0.659854327 0.698336885 0.680856394 0.657525295 0.610218856 0.650142154 0.672059054 0.686957121 0.641004513 0.708464909 0.641613128 0.532558995 0.762827313 0.623704916 0.672893223 0.67863158 0.653114701 0.666999146 0.647260233 0.688256269
"18" 0.764053573 0.673079511 0.755943724 0.428266452 0.478445299 0.658082272 0.634899659 0.483520205 0.554623471 0.725544573 0.54290934 0.749524773 0.589453491 0.752967514 0.748555671 0.591504787 0 0.61609899 0.647908672 0.560838588 0.60410568 0.464729513 0.518164279 0.301656282 0.591852099 0.453300971 0.693748726 0.720830101 0.613381734 0.635331303 0.528853926 0.68449495 0.64018093 0.398379484 0.646748255 0.760517633 0.608710362 0.581135587 0.37153357 0.705648411 0.574015615 0.747807789 0.59013243
